period,addressId,diceName,bet_count
2012-11-10,3517636,lessthan 32768,1736
2012-11-10,3517367,lessthan 48000,787
2012-11-11,3524394,lessthan 32000,1562
2012-11-11,3517636,lessthan 32768,1351
2012-11-11,3517367,lessthan 48000,514
2012-11-12,3524394,lessthan 32000,1563
2012-11-12,3517636,lessthan 32768,1269
2012-11-12,3517367,lessthan 48000,512
2012-11-13,3524394,lessthan 32000,1791
2012-11-13,3517636,lessthan 32768,1749
2012-11-13,3517367,lessthan 48000,756
2012-11-14,3524394,lessthan 32000,3918
2012-11-14,3517636,lessthan 32768,1591
2012-11-14,3517367,lessthan 48000,735
2012-11-15,3524394,lessthan 32000,5019
2012-11-15,3517636,lessthan 32768,2183
2012-11-15,3517367,lessthan 48000,538
2012-11-16,3524394,lessthan 32000,4242
2012-11-16,3517636,lessthan 32768,2309
2012-11-16,3517367,lessthan 48000,777
2012-11-17,3524394,lessthan 32000,2776
2012-11-17,3517636,lessthan 32768,2391
2012-11-17,3517367,lessthan 48000,923
2012-11-18,3524394,lessthan 32000,3634
2012-11-18,3517636,lessthan 32768,1896
2012-11-18,3517367,lessthan 48000,696
2012-11-19,3524394,lessthan 32000,5562
2012-11-19,3517636,lessthan 32768,1571
2012-11-19,3517367,lessthan 48000,1006
2012-11-20,3524394,lessthan 32000,5492
2012-11-20,3517636,lessthan 32768,1414
2012-11-20,3517367,lessthan 48000,697
2012-11-21,3524394,lessthan 32000,5438
2012-11-21,3517636,lessthan 32768,1739
2012-11-21,3517367,lessthan 48000,881
2012-11-22,3524394,lessthan 32000,1319
